X,Y
0.000,135.3089
2.293,135.5406
4.585,136.2155
6.878,136.5285
9.171,136.1016
11.464,136.3171
13.756,136.4472
16.049,136.8008
18.342,136.9837
20.634,137.0772
22.927,136.7642
25.220,136.5488
27.513,136.3781
29.805,136.5081
32.098,136.1911
34.391,136.0854
36.683,136.1382
38.976,135.7358
41.269,135.2195
43.561,135.4715
45.854,135.5000
48.147,135.3699
50.440,134.5244
52.732,133.5203
55.025,133.3374
57.318,134.7805
59.610,135.6951
61.903,135.8862
64.196,135.7398
66.489,135.7276
68.781,135.2155
71.074,135.3211
73.367,135.6016
75.659,135.7073
77.952,135.1545
80.245,135.1992
82.538,134.4919
84.830,135.0894
87.123,135.1504
89.416,134.5528
91.708,134.4959
94.001,134.3902
96.294,133.6179
98.587,133.9024
100.879,133.8577
103.172,134.0081
105.465,133.8781
107.757,134.1098
110.050,133.5122
112.343,133.6626
114.635,133.5528
116.928,133.2317
119.221,133.3781
121.514,133.3862
123.806,132.4715
126.099,132.5081
128.392,132.3943
130.684,132.2032
132.977,131.5325
135.270,131.6423
137.563,131.8781
139.855,132.2236
142.148,131.8374
144.441,131.5366
146.733,131.7155
149.026,131.2886
151.319,130.6098
153.612,130.2602
155.904,129.9146
158.197,129.9024
160.490,129.3089
162.782,128.6301
165.075,128.7439
167.368,128.7845
169.661,128.5163
171.953,128.1382
174.246,127.9187
176.539,127.8496
178.831,127.4797
181.124,126.5569
183.417,125.6585
185.709,125.3293
188.002,124.5325
190.295,123.9797
192.588,123.3171
194.880,122.6748
197.173,122.0528
199.466,121.6098
201.758,120.8740
204.051,119.9634
206.344,118.8537
208.637,118.1301
210.929,117.3211
213.222,117.2154
215.515,116.7561
217.807,115.7642
220.100,114.8293
222.393,114.5976
224.686,114.0163
226.978,113.8659
229.271,112.9472
231.564,112.3577
233.856,111.8577
236.149,111.2886
238.442,110.9878
240.735,110.8130
243.027,110.6870
245.320,110.7398
247.613,110.7927
249.905,110.6423
252.198,110.4553
254.491,110.2195
256.784,110.2967
259.076,110.3699
261.369,110.1545
263.662,110.3211
265.954,110.3130
268.247,110.3537
270.540,110.0203
272.832,110.0854
275.125,110.4756
277.418,110.9675
279.711,110.6098
282.003,110.2276
284.296,110.0976
286.589,110.3008
288.881,110.3089
291.174,110.1260
293.467,110.2967
295.760,110.7764
298.052,110.6829
300.345,110.6911
302.638,110.5203
304.930,110.7073
307.223,110.5650
309.516,110.5935
311.809,110.3577
314.101,110.2236
316.394,110.1382
318.687,110.3902
320.979,110.4024
323.272,110.6219
325.565,110.9350
327.857,110.7805
330.150,110.1463
332.443,110.1545
334.736,109.7358
337.028,109.6341
339.321,109.6463
341.614,109.8008
343.906,109.9146
346.199,110.2195
348.492,110.1057
350.785,109.9431
353.077,109.2480
355.370,109.5772
357.663,109.7967
359.955,110.1219
362.248,109.6219
364.541,109.3293
366.834,108.9065
369.126,109.0406
371.419,108.8781
373.712,109.3455
376.004,109.1423
378.297,108.8415
380.590,108.9594
382.883,108.8943
385.175,108.7683
387.468,109.1504
389.761,108.7846
392.053,108.7317
394.346,108.6667
396.639,108.6260
398.931,108.0528
401.224,107.7886
403.517,108.1992
405.810,108.6341
408.102,108.2642
410.395,108.0691
