X,Y
0.000,139.8716
2.293,139.1422
4.585,138.4205
6.878,137.7477
9.171,137.7477
11.464,138.2813
13.756,138.7416
16.049,139.3043
18.342,139.8410
20.634,140.0948
22.927,139.9908
25.220,139.8624
27.513,139.5566
29.805,138.8456
32.098,138.4404
34.391,137.9755
36.683,137.7003
38.976,137.8930
41.269,137.8547
43.561,138.3578
45.854,138.4679
48.147,138.5321
50.440,138.5214
52.732,138.2431
55.025,138.3379
57.318,138.5214
59.610,138.1804
61.903,138.3976
64.196,138.7554
66.489,138.3731
68.781,137.9801
71.074,137.7278
73.367,137.7049
75.659,137.9419
77.952,138.0306
80.245,137.5153
82.538,137.0138
84.830,137.1361
87.123,137.2752
89.416,136.7355
91.708,136.8165
94.001,136.4985
96.294,136.4572
98.587,136.7110
100.879,136.7431
103.172,136.6896
105.465,136.6116
107.757,136.3318
110.050,136.0703
112.343,136.2584
114.635,136.2187
116.928,135.8517
119.221,135.5917
121.514,135.3700
123.806,135.3196
126.099,135.1483
128.392,134.8976
130.684,134.9434
132.977,134.8211
135.270,134.8547
137.563,134.7615
139.855,134.3930
142.148,134.3884
144.441,134.2431
146.733,134.2722
149.026,133.8440
151.319,133.6223
153.612,133.2309
155.904,132.2752
158.197,131.6468
160.490,131.4465
162.782,132.1208
165.075,132.5474
167.368,132.3211
169.661,131.7110
171.953,131.3333
174.246,130.9373
176.539,130.8823
178.831,130.8502
181.124,130.3700
183.417,130.2355
185.709,129.7859
188.002,129.0520
190.295,128.6728
192.588,128.1468
194.880,127.6407
197.173,127.2034
199.466,126.8089
201.758,126.0398
204.051,125.2829
206.344,124.6881
208.637,124.4817
210.929,123.7278
213.222,122.9083
215.515,122.5000
217.807,121.3761
220.100,120.2645
222.393,119.5306
224.686,119.0336
226.978,118.5398
229.271,118.1896
231.564,117.6361
233.856,116.9755
236.149,116.2095
238.442,115.3654
240.735,114.8440
243.027,114.5505
245.320,114.5138
247.613,113.9924
249.905,113.6361
252.198,113.2355
254.491,112.5596
256.784,112.2538
259.076,111.8104
261.369,111.3517
263.662,110.9572
265.954,110.9083
268.247,110.6774
270.540,110.2813
272.832,109.7951
275.125,109.7248
277.418,109.9388
279.711,109.6239
282.003,109.0734
284.296,108.7324
286.589,108.7095
288.881,108.5398
291.174,108.4801
293.467,108.2339
295.760,108.2813
298.052,108.3884
300.345,108.3930
302.638,108.3991
304.930,108.5734
307.223,108.2187
309.516,107.8976
311.809,107.7125
314.101,107.7599
316.394,107.8104
318.687,107.5291
320.979,107.6223
323.272,107.2630
325.565,107.0107
327.857,106.7125
330.150,106.7187
332.443,106.7324
334.736,106.5214
337.028,106.5994
339.321,106.6911
341.614,106.5183
343.906,106.3547
346.199,106.2768
348.492,106.2798
350.785,106.0642
353.077,105.9358
355.370,105.9021
357.663,105.7859
359.955,105.8547
362.248,105.7936
364.541,105.3731
366.834,105.1621
369.126,104.9511
371.419,105.1239
373.712,105.4220
376.004,105.3654
378.297,105.1927
380.590,105.2706
382.883,105.1162
385.175,104.8624
387.468,104.8792
389.761,105.0902
392.053,105.1162
394.346,104.8196
396.639,104.6743
398.931,104.5107
401.224,104.8394
403.517,104.6728
405.810,104.3761
408.102,104.0688
410.395,104.2722
